,ward,borough,%_english_is_first_language_of_no_one_in_household_2011,median_house_price_2014,median_household_income_estimate_2012_13,male_life_expectancy_2009_13,female_life_expectancy_2009_13,%_area_that_is_open_space_2014,%_travel_by_bicycle_to_work_2011,turnout_at_mayoral_election_2012,crime_rate_2014_15,%_bame_2011,%_all_older_people_aged_65_2015,%_homes_with_good_access_to_nature,%_homes_with_deficiency_in_access_to_nature,female_life_expectancy_normalised,male_life_expectancy_normalised,median_household_income_estimate_2012_13_log
1,E05000026,Barking and Dagenham,25.7,173000.0,33920.0,80.2,83.9,21.9,0.8,25.7,138.1,71.9,5.0,98.0,2.0,0.9964977463759295,1.0053133468460418,10.43176008990584
2,E05000027,Barking and Dagenham,7.9,215000.0,32470.0,77.2,80.6,20.6,1.0,20.3,73.6,29.9,10.0,28.0,72.0,0.9573029601656723,0.9677081094328482,10.388071865096892
3,E05000028,Barking and Dagenham,10.5,210000.0,33000.0,79.0,79.3,1.9,1.6,22.5,79.9,41.2,8.7,83.0,17.0,0.9418625898404196,0.9902712518807644,10.404262840448617
4,E05000029,Barking and Dagenham,6.5,240500.0,33920.0,79.2,82.2,56.0,1.2,25.3,76.1,37.9,14.2,36.0,64.0,0.9763064928736759,0.9927782677083107,10.43176008990584
5,E05000030,Barking and Dagenham,4.5,240000.0,37400.0,77.1,81.1,50.4,1.6,24.1,66.7,24.8,14.2,100.0,0.0,0.9632415641369234,0.966454601519075,10.529425983402623
6,E05000031,Barking and Dagenham,11.9,220000.0,32870.0,78.9,84.9,17.1,1.5,21.5,82.2,41.7,9.6,94.0,6.0,1.0083749543184317,0.9890177439669914,10.400315666658265
7,E05000032,Barking and Dagenham,18.7,200000.0,29480.0,75.5,81.1,20.8,1.4,25.6,75.8,60.4,5.4,94.0,6.0,0.9632415641369234,0.9463984748987052,10.291467346303273
8,E05000033,Barking and Dagenham,7.7,205000.0,33250.0,77.5,82.8,14.1,1.7,20.5,74.8,33.3,10.9,92.0,8.0,0.9834328176391771,0.9714686331741675,10.411810046084
9,E05000034,Barking and Dagenham,6.2,215000.0,31340.0,76.5,80.1,36.3,1.6,22.2,83.7,32.3,11.5,9.0,91.0,0.9513643561944213,0.9589335540364364,10.352650515910012
10,E05000035,Barking and Dagenham,11.9,312750.0,40570.0,78.7,85.7,28.3,1.1,30.6,57.0,57.4,12.2,96.0,4.0,1.0178767206724333,0.9865107281394451,10.610784156200493
11,E05000036,Barking and Dagenham,8.2,212000.0,31530.0,76.8,83.3,44.8,1.6,20.5,67.9,31.2,11.0,100.0,0.0,0.9893714216104281,0.9626940777777557,10.358694752539106
12,E05000037,Barking and Dagenham,6.6,213000.0,31860.0,76.1,83.5,17.4,1.2,19.3,56.8,30.9,11.1,70.0,30.0,0.9917468631989286,0.9539195223813438,10.36910658346404
13,E05000038,Barking and Dagenham,9.6,205500.0,33490.0,75.0,78.2,20.5,1.4,22.4,85.0,38.4,9.9,100.0,0.0,0.9287976611036673,0.9401309353298396,10.41900216578825
14,E05000039,Barking and Dagenham,11.2,219000.0,32580.0,76.2,84.0,43.8,2.1,22.1,95.6,54.9,5.0,77.0,23.0,0.9976854671701797,0.9551730302951171,10.391453882156036
15,E05000040,Barking and Dagenham,7.1,215000.0,33200.0,76.5,80.8,11.8,1.5,20.3,68.3,31.5,11.3,40.0,60.0,0.9596784017541727,0.9589335540364364,10.410305154904579
16,E05000041,Barking and Dagenham,7.5,202500.0,31960.0,75.9,80.9,47.0,2.4,23.7,90.8,34.8,11.1,100.0,0.0,0.9608661225484231,0.9514125065537977,10.37224039988021
17,E05000042,Barking and Dagenham,8.4,235000.0,37180.0,79.9,87.2,16.0,1.0,25.9,72.4,44.0,11.8,2.0,98.0,1.0356925325861865,1.0015528231047226,10.523526261275435
18,E05000043,Barnet,10.2,435000.0,39800.0,82.3,84.8,28.0,1.0,35.5,49.4,31.6,15.9,99.0,1.0,1.0071872335241814,1.0316370130352772,10.59162219127253
19,E05000044,Barnet,19.3,250000.0,29400.0,76.0,81.4,18.9,0.8,28.6,68.5,53.5,9.1,97.0,3.0,0.9668047265196742,0.9526660144675708,10.288749953326773
20,E05000045,Barnet,23.0,507500.0,38960.0,79.4,82.6,15.1,2.5,35.9,90.5,38.9,12.6,58.0,42.0,0.9810573760506766,0.9952852835358569,10.57029075775647
21,E05000046,Barnet,23.2,302500.0,30170.0,81.8,86.0,19.8,1.0,29.9,58.9,59.9,7.5,51.0,49.0,1.0214398830551839,1.0253694734664116,10.314603332153107
22,E05000047,Barnet,13.6,335000.0,38090.0,79.1,81.9,40.3,2.0,35.1,75.6,35.0,11.1,91.0,9.0,0.9727433304909252,0.9915247597945375,10.54770705947265
23,E05000048,Barnet,7.2,368000.0,39870.0,81.0,85.2,34.8,0.9,35.3,44.0,23.4,14.8,100.0,0.0,1.0119381167011823,1.0153414101562268,10.5933794403754
24,E05000049,Barnet,10.4,437500.0,41160.0,82.2,84.9,37.8,3.1,41.2,47.5,28.2,13.6,93.0,7.0,1.0083749543184317,1.0303835051215042,10.625222189947985
